x,y
21.000000000000004,20.0
20.0,20.0
19.0,20.0
18.0,20.0
17.0,20.0
16.0,20.0
15.0,20.0
14.0,20.0
13.0,20.0
12.0,20.0
11.0,20.0
10.0,20.0
9.0,20.0
8.0,20.0
7.0,20.0
6.0,20.0
5.0,20.0
4.0,20.0
3.0,20.0
2.0,20.0
1.0,20.0
1.0,30.0
2.0,30.0
3.0,30.0
4.0,30.0
5.0,30.0
6.0,30.0
7.000000000000001,30.0
8.0,30.0
9.0,30.0
10.0,30.0
11.0,30.0
12.0,30.0
13.0,30.0
14.000000000000002,30.0
15.0,30.0
16.0,30.0
17.0,30.0
18.0,30.0
19.0,30.0
20.0,30.0
21.0,30.0
22.0,30.0
23.0,30.0
24.0,30.0
25.0,30.0
26.0,30.0
27.0,30.0
28.000000000000004,30.0
28.999999999999996,30.0
30.0,30.0
31.0,30.0
32.0,30.0
33.0,30.0
34.0,30.0
35.0,30.0
36.0,30.0
37.0,30.0
38.0,30.0
39.0,30.0
40.0,30.0
41.0,30.0
42.0,30.0
43.0,30.0
44.0,30.0
45.0,30.0
46.0,30.0
47.0,30.0
48.0,30.0
49.0,30.0
10.0,1.0
10.0,2.0
10.0,3.0
10.0,4.0
10.0,5.0
10.0,6.0
10.0,7.0
10.0,8.0
10.0,9.0
10.0,10.0
10.0,11.0
10.0,12.0
10.0,13.0
10.0,14.0
10.0,15.0
10.0,16.0
10.0,17.0
10.0,18.0
10.0,19.0
20.0,1.0
20.0,2.0
20.0,3.0
20.0,4.0
20.0,5.0
20.0,6.0
20.0,7.0
20.0,8.0
20.0,9.0
20.0,10.0
20.0,11.0
20.0,12.0
20.0,13.0
20.0,14.0
20.0,15.0
20.0,16.0
20.0,17.0
20.0,18.0
20.0,19.0
30.0,1.0
30.0,2.0
30.0,3.0
30.0,4.0
30.0,5.0
30.0,6.0
30.0,7.0
30.0,8.0
30.0,9.0
30.0,10.0
30.0,11.0
30.0,12.0
30.0,13.0
30.0,14.0
30.0,15.0
30.0,16.0
30.0,17.0
30.0,18.0
30.0,19.0
40.0,1.0
40.0,2.0
40.0,3.0
40.0,4.0
40.0,5.0
40.0,6.0
40.0,7.0
40.0,8.0
40.0,9.0
40.0,10.0
40.0,11.0
40.0,12.0
40.0,13.0
40.0,14.0
40.0,15.0
40.0,16.0
40.0,17.0
40.0,18.0
40.0,19.0
40.0,49.0
40.0,48.0
40.0,47.0
40.0,46.0
40.0,45.0
40.0,44.0
40.0,43.0
40.0,42.0
40.0,41.0
40.0,40.0
40.0,39.0
40.0,38.0
40.0,37.0
40.0,36.0
40.0,35.0
40.0,34.0
40.0,33.0
40.0,32.0
40.0,31.0
30.0,49.0
30.0,48.0
30.0,47.0
30.0,46.0
30.0,45.0
30.0,44.0
30.0,43.0
30.0,42.0
30.0,41.0
30.0,40.0
30.0,39.0
30.0,38.0
30.0,37.0
30.0,36.0
30.0,35.0
30.0,34.0
30.0,33.0
30.0,32.0
30.0,31.0
20.0,49.0
20.0,48.0
20.0,47.0
20.0,46.0
20.0,45.0
20.0,44.0
20.0,43.0
20.0,42.0
20.0,41.0
20.0,40.0
20.0,39.0
20.0,38.0
20.0,37.0
20.0,36.0
20.0,35.0
20.0,34.0
20.0,33.0
20.0,32.0
20.0,31.0
10.0,49.0
10.0,48.0
10.0,47.0
10.0,46.0
10.0,45.0
10.0,44.0
10.0,43.0
10.0,42.0
10.0,41.0
10.0,40.0
10.0,39.0
10.0,38.0
10.0,37.0
10.0,36.0
10.0,35.0
10.0,34.0
10.0,33.0
10.0,32.0
10.0,31.0
